<<<<<<< HEAD
school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;18;U;GT3;A;2;3;teacher;at_home;course;father;2;4;2;no;no;no;yes;no;yes;yes;yes;5;5;1;5;1;3;16;7;15;15
MS;M;16;U;GT3;A;3;4;health;teacher;reputation;other;3;3;1;no;no;yes;no;no;yes;yes;no;1;5;3;4;2;2;24;7;11;14
GP;M;22;R;LE3;T;1;0;health;other;course;father;4;2;1;yes;no;yes;yes;no;yes;yes;no;1;3;3;3;4;3;13;11;7;14
GP;F;15;U;GT3;A;4;1;at_home;health;reputation;mother;1;1;2;no;yes;yes;no;yes;no;yes;no;1;4;2;1;3;2;11;8;8;16
MS;F;16;U;LE3;T;3;1;at_home;other;other;mother;3;3;2;yes;yes;no;no;no;yes;yes;yes;1;3;4;3;2;2;15;7;17;18
MS;M;15;U;GT3;T;2;1;at_home;services;course;mother;4;2;2;no;yes;yes;yes;no;no;no;no;3;2;3;1;3;1;0;19;10;13
GP;F;18;R;GT3;T;1;3;health;services;course;other;2;1;1;yes;yes;no;no;no;no;yes;yes;5;5;3;2;4;1;12;12;7;12
GP;M;18;R;LE3;T;1;4;services;services;other;other;4;3;1;no;yes;no;yes;no;yes;yes;no;2;3;4;4;5;3;5;7;16;15
MS;M;22;U;GT3;A;4;3;other;other;other;father;2;3;0;yes;no;yes;no;no;yes;no;yes;5;4;5;2;1;5;16;17;11;8
MS;M;19;R;LE3;T;0;2;services;at_home;course;father;2;2;1;no;yes;no;no;yes;no;yes;no;3;2;3;2;3;3;11;18;17;16
MS;F;16;U;LE3;A;2;1;services;health;other;mother;1;1;1;yes;yes;yes;no;yes;no;yes;yes;1;1;1;1;2;4;22;11;10;11
MS;F;20;U;GT3;A;4;2;health;services;home;other;1;1;1;no;yes;yes;no;yes;no;yes;no;3;3;2;3;3;2;18;6;13;14
GP;M;19;U;LE3;A;2;0;services;services;reputation;father;4;3;2;no;yes;yes;yes;yes;no;yes;yes;4;2;3;5;5;2;5;15;16;7
MS;M;16;U;LE3;A;0;0;teacher;services;reputation;other;1;3;1;yes;no;yes;no;no;no;no;yes;4;1;3;1;1;1;6;15;19;13
MS;M;19;R;GT3;T;0;3;at_home;health;reputation;other;1;3;2;no;no;yes;no;yes;no;yes;yes;5;3;5;5;3;5;0;5;9;14
GP;M;20;R;LE3;T;4;4;teacher;services;home;mother;1;1;0;yes;no;yes;yes;no;yes;yes;yes;5;2;1;2;5;1;0;16;8;8
MS;F;17;R;LE3;A;0;2;other;health;other;mother;4;2;0;yes;no;yes;yes;yes;no;yes;yes;2;2;2;5;2;4;4;10;7;6
GP;F;17;U;LE3;A;3;4;at_home;services;other;other;3;2;2;no;no;no;yes;yes;no;yes;yes;2;3;3;3;4;3;5;12;14;14
MS;M;22;U;GT3;T;1;3;services;other;course;other;1;1;2;yes;yes;yes;yes;yes;no;no;yes;4;2;2;1;2;3;15;5;5;9
MS;M;17;U;LE3;A;4;0;other;other;other;other;1;4;2;no;no;no;yes;no;no;yes;yes;1;5;4;3;1;5;24;17;7;6
MS;F;17;R;GT3;T;2;4;at_home;health;course;other;4;2;1;no;no;no;yes;no;yes;yes;no;3;3;3;3;2;1;15;14;7;18
GP;F;21;U;GT3;A;3;4;services;other;home;mother;3;3;0;yes;no;no;no;yes;yes;yes;yes;2;2;3;1;2;1;13;16;11;14
GP;M;15;R;LE3;T;4;0;teacher;health;reputation;father;1;4;2;no;yes;yes;yes;no;no;yes;yes;2;1;4;3;2;4;0;13;11;10
MS;M;21;R;LE3;A;0;2;at_home;other;reputation;mother;2;4;1;yes;yes;no;no;yes;no;no;no;1;1;5;4;2;3;12;19;17;15
GP;M;21;R;LE3;A;0;0;services;other;reputation;father;4;2;0;yes;no;no;yes;yes;no;yes;yes;1;5;3;4;1;1;19;7;19;14
GP;F;22;R;GT3;T;0;4;teacher;health;other;other;1;4;1;no;yes;yes;no;yes;yes;yes;no;5;3;2;4;5;5;9;7;16;5
GP;F;21;R;LE3;A;0;2;other;at_home;course;father;1;4;0;no;yes;yes;no;no;yes;yes;yes;3;2;1;5;3;3;23;8;5;18
GP;F;17;R;LE3;A;2;2;other;other;course;mother;2;2;1;yes;no;no;no;yes;yes;yes;no;1;2;2;3;4;4;9;15;7;10
GP;M;20;U;LE3;T;3;0;other;services;home;mother;2;2;0;yes;yes;yes;yes;yes;yes;yes;no;2;1;5;1;3;5;8;19;17;8
GP;M;22;U;LE3;A;1;4;other;at_home;other;other;4;4;0;no;yes;yes;yes;yes;yes;no;yes;2;5;1;1;3;2;12;5;12;7
MS;F;22;R;LE3;T;2;3;health;health;home;mother;4;3;1;no;yes;yes;yes;no;yes;yes;no;4;1;2;5;4;4;2;13;13;6
MS;F;18;R;GT3;T;2;4;at_home;at_home;course;other;2;1;2;no;no;yes;yes;yes;no;no;yes;1;1;2;1;1;5;17;15;11;11
GP;M;22;U;GT3;A;1;1;at_home;teacher;course;mother;4;4;0;no;no;no;no;no;yes;yes;yes;5;5;4;4;4;1;19;7;11;13
=======
Name,Math,Science,English
Asha,85,80,82
Raj,92,90,91
Meena,78,70,75
Vikram,88,85,87
Sita,95,89,93
>>>>>>> 7c6c9acab74aadad5870d947e4ed4c5fa7e0a414
